"Наименование","ЕИК","Вид на агенцията","Към участник","Описание"
"МЕДИА ГРУП 2014 ЕООД","203237540","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"МАРТИ - ДЕНИ ГРУП ЕООД","202244514","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","Рекламни материали"
"МУЛТИКОМЕРС ЕООД","117035811","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","Рекламни материали"
"Телевизия Евроком ООД ","121761999","За осъществяване на връзки с обществеността","ПРЯКА ДЕМОКРАЦИЯ - Партия","За осъществяване на връзки с обществеността"
"БЪЛГАРСКО НАЦИОНАЛНО РАДИО","000672343","За осъществяване на връзки с обществеността","ПРЯКА ДЕМОКРАЦИЯ - Партия","За осъществяване на връзки с обществеността"
"БЪЛГАРСКА НАЦИОНАЛНА ТЕЛЕВИЗИЯ","000672350","За осъществяване на връзки с обществеността","ПРЯКА ДЕМОКРАЦИЯ - Партия","За осъществяване на връзки с обществеността"
"ДИ ЕНД ДЖИ ЕООД","123746558","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"168 ЧАСА ЕООД","831400025","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"Дунавско дело ЕООД вестник Дунавско дело Свищов","104600901","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ПОД ТЕПЕТО ООД","200578999","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"БТА","000695071","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ХАСКОВО ИНФО ЕООД","201928228","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"АКВА ТЕРРА ВН ЕООД","200440172","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"Пи ЕМ Струдио Велико Търново","201353635","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"РРС БЛАГОЕВГРАД","0006723430010","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-РАДИО"
"БНТ","000672350","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-ТВ"
"РРС КЪРДЖАЛИ","0006723430097","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-РАДИО"
"БЪЛГАРСКО НАЦИОНАЛНО РАДИО, РРС ПЛОВДИВ","0006723430044","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-РАДИО"
"Фактор БГ ЕООД","205716799","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"Кракра АД","823090000","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-ТВ"
"ОТВЕС КОНСУЛТ ЕООД","200810127","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"БУМЕРАНГ ФМ ЕООД","107046713","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-РАДИО"
"Гларус ООД","102092151","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Гларус Р ООД","040709575","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ГЛАСОВЕТЕ.КОМ ЕООД","204275490","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"МИДИЯ ПАК ЕООД","203878350","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","Рекламни материали"
"СТОНЕС. Г ЕООД","206861675","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","Рекламни материали"
"ФЛАТ ООД","102670502","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","Рекламни материали"
"АРДА 2022 ЕООД","206762251","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ИК КОЛОНЕЛ ООД","817038440","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия",""
"Никола Симов - 99 ООД","125544594","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Авал ООД","112594024","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"АКВА ТЕРРА ВН ЕООД","200440172","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"Дедракс АД","201412044","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"ЕТ Инфофлекс - Галин Найденов","114066778","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Занте Медия груп ООД","206050604","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Марти пласт 2020 ЕООД","206210630","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"ЕТ Обретенов и с-е","827130862","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"РАДИО ЕКСПРЕС АД","831053592","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"РРС ШУМЕН","000672343","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"С.А.Р.А - КОНСУЛТ ЕООД","203399827","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"СДРУЖЕНИЕ КРИЕЙТИВ КЛУБ","206025592","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия",""
"Ултра Медия ЕООД","101665801","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"КАЛЧЕВ ДИЗАЙН ЕООД","201013180","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","реклама"
"СТОЕВИ МУЛТИГРУП ООД    ","203860781","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ОБЩИНСКИ ПАЗАРИ ЕООД","820184003","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ОБЩИНСКИ ПАЗАРИ ЕООД","820184003","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"КЕТУ УЕБ ДИЗАИН","205248489","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"роял принт еоод","204966725","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Джовани - 1989 ЕООД","203503521","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЕС Експрес 2000 ЕООД","202580881","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Симо Ко ЕООД","119592823","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ПАМЕДИЯ ЕООД","208583915","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"АКВА ТЕРРА ВН ЕООД","200440172","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Югозападна информационна агенция ЕООД","101773727","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Издателска къща Родопи ООД","108011195","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"168 ЧАСА ЕООД","831400025","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ВЕСТНИК"
"Метрорадио ЕООД","121887866","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-РАДИО"
"Р22 ЕООД","121319504","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-РАДИО"
"Струма ЕООД","811142304","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ ВЪВ ВЕСТНИК"
"САТ ТВ ООД","020366756","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-ТВ"
"ИК СЕКОС ЕООД","205702529","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","Рекламни материали"
"ФОНДАЦИЯ ""СПИРИТ ПЛЕВЕН""","205911475","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"САТЕЛИТНИ СИСТЕМИ ЕООД","831114006","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-ТВ"
"ВЕСТНИК ТЕМПО ЕООД","201596893","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"СМИЛКОВ ЕООД","101742347","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"нет сърф нет оод","111542312","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"тракия прес - пр еоод","115815129","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Печатница Графикс ЕООД","109600638","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"принт фектори еоод","202163181","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Беллопринт ООД","822117284","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Печатница Графикс ЕООД","109600638","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Интерпрес груп 18 ЕООД","204937474","Рекламна","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция",""
"ПРО НЮЗ ДОБРИЧ ЕООД","204800657","Рекламна","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция",""
"ДЪГА ПЛЮС ООД","833161111","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"АПРОПО ООД","148119570","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"МЕГАЛАН ООД","111548860","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"МИРОГЛЕД ООД","201206770","Рекламна","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция",""
"АКВА ТЕРРА ВН ЕООД","200440172","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Корект консулт ЕООД","102938199","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Линк мобилити България ЕАД","131384920","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Медиатор 2015 ООД","203365903","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"6М ЕООД","203538846","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ВИА МЕДИЯ ГРУП ООД","208314802","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Елфи М ЕООД","203928426","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ПА 1 БГ ЕООД","200670344","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"С.А.Р.А - КОНСУЛТ ЕООД","203399827","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"нет сърф нет оод","111542312","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"БТВ Медиа Груп ЕАД","130081393","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"РАДИО ЕКСПРЕС АД","831053592","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ИК Слово плюс","203458179","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","публикация"
"МатриксдизайнЕООД","205545095","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ВЕСТНИК ТРОЯН 21","110547136","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Югозападна информационна агенция ЕООД","101773727","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"БНТ","000672350","За осъществяване на връзки с обществеността","МОРАЛ ЕДИНСТВО ЧЕСТ - Партия","За осъществяване на връзки с обществеността"
"Дизайн Инженеринг ООД ","117685638","Рекламна","МОРАЛ ЕДИНСТВО ЧЕСТ - Партия","Рекламна"
"Телевизия Евроком ООД ","121761999","За осъществяване на връзки с обществеността","МОРАЛ ЕДИНСТВО ЧЕСТ - Партия","За осъществяване на връзки с обществеността"
"Хоум офис студио ЕООД ","207807945","За осъществяване на връзки с обществеността","МОРАЛ ЕДИНСТВО ЧЕСТ - Партия","За осъществяване на връзки с обществеността"
"ИНФО МАРКЕТ 2000 ООД","202469888","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"Добруджа кабел ЕООД","124519734","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ЕС Експрес 2000 ЕООД","202580881","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"НОВА БРОУДКАСТИНГ ГРУП ЕООД","205738443","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"БТВ Медиа Груп ЕАД","130081393","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"ДИ ЕНД ДЖИ ЕООД","123746558","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"ОП Русе Арт","0005306320317","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"ЛК- СЪРВИС ООД","200191511","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"КИПА-КАЛИНКА ТРИФОНОВА  ЕТ","117043352","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"Иноуейв Рисърч ЕООД","205543404","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"Добруджа ТВ ЕООД","202933477","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"ПРО НЮЗ ДОБРИЧ ЕООД","204800657","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"Кракра АД","823090000","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"ЕТ Зетра-Петко Чернев","030068263","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ОБЩИНА ШАБЛА","000852957","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ЛАРГО СИТИ ООД","148117345","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Йордан Йорданов ПБ Добрич ЕООД","201236767","Рекламна","КП ГЕРБ-СДС - Коалиция",""
" ""МБР-ГРАНД"" ООД","207660993","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Печатница Дъга ООД","110014558","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Еленски балкан ООД вестник Еленска трибуна гр.Елена","104020058","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"РРС ВАРНА","0006723430025","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"""ЕКОБЕЛАН"" ООД","200735482","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Арена Прес ЕООД - Варна","207713969","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Струма ЕООД","811142304","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ДЕГА ПРИНТ ЕООД","207835275","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","Рекламни материали"
"СИРА ООД","104518525","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ет вк компютърс - вежди куйджуклу","201013084","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ет стрезов - илиян стрезов","116003611","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Старозагорски акценти","207971300","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"МАРТИ - ДЕНИ ГРУП ЕООД","202244514","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ФАБРИКЪ ЕООД","203762755","Рекламна","ВЪЗРАЖДАНЕ - Партия","ВИДЕОЗАСНЕМАНЕ"
"Ви Ди Ен Ера ТВ ЕООД","204727180","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-ТВ"
"""Струма.Ком Медия"" ООД","208055659","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия",""
"НОВА БРОУДКАСТИНГ ГРУП ЕООД","205738443","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-ТВ"
"БИ ТИ ВИ МЕДИА ГРУП","130081393","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-ТВ"
"ЕТ КАМЕЛИЯ ОБРЕТЕНОВА","111013295","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ ВЪВ ВЕСТНИК"
"ШУМЕН СИТИ ЕООД","127626182","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"АГЕНЦИЯ МАДАРА ЕООД","204384148","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Арт Инженеринг ЕООД","106598255","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"МОРЕТО НЕТ ЕООД","208626887","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ОБЩИНА БОЛЯРОВО","000970051","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"МАЙМУН БГ ООД","206874282","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"диез принт 21 оод","203166246","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"алпи комерс оод","115306725","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ФАКТОР-Д ЕООД","123688254","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Студио Унико ЕООД","200468129","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"арт профил 1 еоод","201561807","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Литера Принт АД","123005961","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"СДРУЖЕНИЕ ЗА СОЦИАЛНО-ИКОНОМИЧЕСКО РАЗВИТИЕ","107583421","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ХЕРМЕС 1992 ЕООД","203179717","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"НЧ""Братство-1884"" в-к ""Павликенски глас"" Павликени","000124197","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"Еленски балкан ООД вестник Еленска трибуна гр.Елена","104020058","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ДАРИК РАДИО АД","831476119","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"КАБЕЛ САТ - ЗАПАД ООД","101140198","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"Е-79 ЕООД","109030323","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"АРДА 2022 ЕООД","206762251","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ИНФОМРЕЖА ЕООД","201595600","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ЕСКОМ МЕДИА ГРУП ООД","202355379","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"АНАСТАС-Ф ЕООД","200956559","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"Фактор Р плюс ЕООД","103094511","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"""КЕРЕМИДЧИЕВ И РАЙКОВА И СИЕ"" ООД","205664726","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"'ДИАНА КАБЕЛ ТВ"" ООД","128029350","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"МОНТАНА 24 ЕООД","204827597","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ТВ САТ КОМ ЕООД","115545438","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"НД Принтинвестмънт ЕООД","207882606","За осъществяване на връзки с обществеността","КП СИЯНИЕ - Коалиция",""
"Парти Лейди ЕООД","115806482","Рекламна","КП СИЯНИЕ - Коалиция",""
"БНТ","000672350","За осъществяване на връзки с обществеността","КП СИЯНИЕ - Коалиция",""
"ЕКРИТ МЕДИА ООД","204600845","Рекламна","КП СИЯНИЕ - Коалиция",""
"Победа сега Сдружение","206365328","Рекламна","КП СИЯНИЕ - Коалиция",""
"ТЕЛЕНЮЗ ЕООД","112533320","За осъществяване на връзки с обществеността","КП СИЯНИЕ - Коалиция",""
"Аква лайф ЕООД","200070431","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Пакомаг АД","175179810","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Прима Принт ЕООД","831690728","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ЕЛЕНСКИ БАЛКАН ООД","104020058","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"стоунтех оод","200733766","Социологическа","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Аргент 2002 ООД","131015485","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","реклама"
"СИРА ООД","104518525","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ТВ САТ КОМ ЕООД","115545438","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"БНТ","000672350","Рекламна","ИМА ТАКЪВ НАРОД - Партия","реклама"
"ДЕН НЮЗ БГ ЕООД","204341620","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"БТА","000695071","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","пресконференция"
"""БЪЛГАРСКИ ПОЩИ"" ЕАД","121396123","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Гама Дизайн груп ЕООД","175038603","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"ЕСКОМ МЕДИА ГРУП ООД","202355379","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","отразяване предизборна кампания"
"Крез България ЕООД","204174413","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Печатница Графикс ЕООД","109600638","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Микра АЯ ООД","126508238","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"ИК Слово плюс","203458179","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"ЕТ ""БОЯН - ХРИСТО БОЙЧЕВ - ГАЛИНА ПЕТРОВА""","208453289","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"ЮРО МЕДИА ГРУП ООД","201766018","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","Медийно обслужване ПИ 19.04.26"
"Добруджа кабел ЕООД","124519734","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-ТВ"
"ДИЯН БОЯДЖИЕВ ЕООД","126165889","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"БИ ТИ ВИ МЕДИА ГРУП","130081393","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"НЮ ПРИНТКЪМПАНИ ООД","203910638","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ЕКСЕС СТУДИО ООД","175431033","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"СТУДИО ПЛАКАТ 1 ЕООД","175430351","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"Дедракс АД","201412044","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"Габси ООД","204173941","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"С.А.Р.А - КОНСУЛТ ЕООД","203399827","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Топ Дизайн БГ ЕООД","206698628","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
