"Наименование","ЕИК","Вид на агенцията","Към участник","Описание"
"ПУБЛИТИКС МЕДИА ЕООД","201501023","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ОП ОБЩИНСКИ МЕДИЕН ЦЕНТЪР","000931721","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","Реклама тип Билборд"
"Лайтмедия ООД","200368730","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","Наем на рекламни площи"
"АЙВИ КОМЮНИКЕЙШЪНС ЕООД","200620028","Рекламна","ВЪЗРАЖДАНЕ - Партия",""
"СТУДИО ИМПРЕС ЕООД","204156080","Рекламна","ВЪЗРАЖДАНЕ - Партия","ЗАПИС"
"ТИЙМ Т КОНСУЛТ ЕООД","204120682","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"РЕК-АРТ ЕООД","119524726","Рекламна","ВЪЗРАЖДАНЕ - Партия","НАЕМ БИЛБОРД"
"ДАТА НЮЗ ЕООД","207089078","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ВЕСТНИК"
"ЕЛМАЗОВИ ООД","200543375","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ИНВЕСТОР.БГ АД","130277328","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-ТВ"
"ИНСТИТУТ ЗА СТРАТЕГИИ И АНАЛИЗИ ЕООД","203683119","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"МЕДИЯ НЮЗ ЕООД","207131132","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"ПРЕСКЛУБ ВАРНА СНЦ","205953143","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"СТУДИО МЕДИЯ ЕООД","201583287","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","МЕДИЙНО ОТРАЗЯВАНЕ"
"""КЕРЕМИДЧИЕВ И РАЙКОВА И СИЕ"" ООД","205664726","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-РАДИО"
"КРИТИЧНО ЕООД","208103673","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"ИК МАРИЦА ИЗТОК ЕООД","123521271","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ ВЪВ ВЕСТНИК"
"СД ВИС ВИТАЛИС-САМАРСКИ И СИЕ","123040082","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"ДИВИДЕНТ МЕДИА ЕООД","206316466","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"ИМД МЕДИЯ ГРУП ЕООД","206829077","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"ИНТЕР МЕДИА ГРУП БЪЛГАРИЯ ЕООД","201178709","Рекламна","ВЪЗРАЖДАНЕ - Партия","НАЕМ РЕКЛАМНА ПЛОЩ"
"НАЦИОНАЛНА БИЗНЕС ПОЩА ЕООД","123155726","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"СМАРТ ХОУМ СИС ООД - НОВА ВАРНА","202977153","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"Атум Реклами ООД","115676520","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ИНФОМРЕЖА ЕООД","201595600","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"БУРГАСНЮЗ ООД","200173043","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ПИАР АВЕНЮ ООД","201214781","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Нес Медия ООД","207779549","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Един 13 ЕООД Бургас","206413239","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"МЕДИА ЛАЙТ ЕООД","147055321","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ЮНИКОН БЪЛГАРИЯ ЕООД","207313569","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"БГ МЕДИЯ ООД","147030752","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"СКАТ ООД","812104705","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ВЕРБАЛ ООД","200957052","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ЧЕРНОМОРСКИ ФАР ЕАД","147111873","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"АЛДОР ЕООД","203815371","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ТРАВЪЛМЕДИА ГРУП ЕООД","200583131","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"МИРОГЛЕД ООД","201206770","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"Янтра прес АД В.Търново вестник Янра днес","104092980","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ИК Компакт медиа ООД ","202393691","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"АЛПИКО ПЪБЛИШИНГ ЕООД","106060432","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"МЕДИА ГРУП 2014 ЕООД","203237540","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"МОДЕРНА ВРАЦА ЕООД","203367263","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"МИХАЙЛОВ ТВ ООД","130119552","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"КОНКУРЕНТ НЮЗ ЕООД","200137677","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"КОБАЛТ МЕДИЯ ГРУП ЕООД","205537052","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"БРЯГ МЕДИА ГРУП ЕООД","114035126","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"АКЦЕНТ БГ ЕООД","201347618","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ХЕРМЕС МЕДИЯ ГРУП ЕООД","206572476","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Арена Медиа","117664733","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"КИС ООД","117615472","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Русе Медиа ЕООД","206708168","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"КИПА-КАЛИНКА ТРИФОНОВА  ЕТ","117043352","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Метал Арт 73 ЕООД","201328071","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ИВАНОВ КОМЮНИКЕЙШЪНС ЕООД","206543019","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ОТВЕС КОНСУЛТ ЕООД","200810127","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"БУМЕРАНГ ФМ ЕООД","107046713","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ИК КОЛОНЕЛ ООД","817038440","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Росица ЕООД","107522678","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ЕЛМАЗОВИ ООД","200543375","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"БЪЛГАРСКО НАЦИОНАЛНО РАДИО","000672343","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Анонс медиа груп ЕООД","207190323","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Балканец Медия ООД","206559913","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"БГ Плакат ЕООД","202735876","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ДИ ЕНД ДЖИ ЕООД","123746558","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"ЕЛМАЗОВИ ООД","200543375","Рекламна","ВЪЗРАЖДАНЕ - Партия","НАЕМ БИЛБОРД"
"ИК Компакт медиа ООД ","202393691","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ВЕСТНИК"
"РРС СТАРА ЗАГОРА","0006723430059","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-РАДИО"
"Синхрон медия Велико Търново","104691751","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"Партнерс Медиа Груп ЕООД","202720625","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"Джи Ем Медиа ЕООД","201378147","Рекламна","КП СИНЯ БЪЛГАРИЯ - Коалиция","Рекламна"
"Би Феър ООд","115813402","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Скай Екстрим ЕООД","201446438","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ТВ"
"Биджой ЕООД","202836315","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"АКЦЕНТ БГ ЕООД","201347618","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Арт Вижън принт АД","124713874","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Биорест Б-я ЕООД","205797515","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Бъз Компани ООд","203626431","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Вива Дизайн 67 ООД","204769788","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ТАНДЕМ КОМПЮТЪРС ЕООД","202410637","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"Голбо ООД","104050603","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ДАРИК РАДИО АД","831476119","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Джей Си Деко Имидж АД","204826560","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ДИАНА ЕООД","116550018","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ДМА МВ ЕООД ","205727190","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Добруджа кабел ЕООД","124519734","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Електроразпределителне мрежи запад ЕАД","130277958","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ЕТ ТРЕТА ВЪЗРАСТ - Р.НИКОЛОВА","831216045","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Иван Триде ЕООД","206739202","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Информационна Агенция Добруджа ЕООД","202416896","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"КАБЕЛ САТ - ЗАПАД ООД","101140198","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"КИС ООД","117615472","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"КЛУБ ЗЕБРА МЕДИЯ ЕООД","206850865","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"МЕГАБОРД ГРУП ЕООД","205811770","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"МЕТРОПОЛИС ГРУП АД","175257604","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"МОРЕТО НЕТ ЕООД","208626887","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Ники-Н Ник. Петров ЕООД","202931031","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ОП РУСЕ АРТ","000530632","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Пламен Тиханов ЕООД","116591634","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ФИЛТЪР НЮЗ ООД","208072053","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ВЕСТНИК"
"ПРЕСГРУПА УТРО ЕООД","117017845","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
