131900045;3;0;127;0;0;87;1;39;1;0;5;38;14;34;0;0;3;2;33;0;0;0;0;0
131900046;5;0;128;0;0;97;7;31;1;2;6;26;20;41;7;0;4;0;27;0;1;1;0;0
131900047;3;0;166;0;0;103;0;16;4;0;3;15;21;47;3;0;8;5;32;0;0;0;0;0
131900048;9;0;138;0;0;90;3;30;1;0;2;21;13;42;3;0;1;3;31;0;1;0;0;0
131900049;6;0;93;0;0;69;0;17;0;3;7;17;15;21;2;0;1;1;23;0;0;0;0;0
131900050;4;1;114;1;1;103;0;30;0;0;1;18;23;49;0;1;0;1;34;1;0;0;0;0
131900051;1;0;61;0;1;55;1;13;0;2;1;22;6;18;0;0;28;0;35;0;0;1;0;0
131900052;2;2;47;0;0;59;1;7;1;1;0;4;5;18;0;0;28;1;32;0;1;0;0;0
131900053;1;0;35;0;0;8;10;2;0;14;0;2;0;0;0;3;83;4;233;3;0;1;0;0
131900054;1;0;37;1;0;39;0;8;0;14;0;14;7;11;0;2;31;2;134;0;0;0;0;0
131900055;3;1;111;1;1;67;3;12;0;0;5;10;21;43;0;1;3;1;32;0;1;0;0;0
131900056;0;1;108;0;0;83;1;11;0;0;0;16;10;23;0;0;5;0;8;0;0;0;0;0
131900057;2;0;105;0;1;129;3;21;3;0;1;17;20;45;1;2;5;10;36;0;0;0;0;0
131900058;1;3;95;4;0;87;1;22;0;1;5;21;26;21;0;0;2;4;25;0;0;0;0;0
131900059;1;1;129;0;0;102;1;29;0;0;1;46;22;24;0;2;3;2;27;1;3;0;0;0
131900060;0;0;11;0;1;6;14;2;0;13;0;1;4;0;0;2;136;6;84;1;0;0;0;0
131900061;0;1;9;0;0;1;54;0;1;57;0;2;16;0;0;1;92;0;17;0;0;0;0;0
131900062;11;0;160;0;0;128;1;29;5;0;7;30;25;51;2;2;2;2;53;0;0;0;0;0
131900063;1;0;134;0;2;67;0;20;0;0;2;16;18;23;2;2;1;0;22;0;0;0;0;0
131900064;5;2;94;0;0;62;2;21;0;0;3;14;19;34;0;2;1;0;37;1;0;0;0;0
