key,clicks,impressions,ctr,position
николай алгафари,1.0,14.0,0.07139999999999999,46.5
владимир петров раков,1.0,13.0,0.07690000000000001,6.08
владимир христов гончев,1.0,13.0,0.07690000000000001,8.23
петър богаевски,1.0,13.0,0.07690000000000001,8.77
александър янакиев йорданов,1.0,13.0,0.07690000000000001,8.85
момчил терзийски прогресивна българия,1.0,13.0,0.07690000000000001,8.92
олег немечкин разград,1.0,13.0,0.07690000000000001,12.31
петко тенев,1.0,12.0,0.0833,7.08
"29. средно училище ""кузман шапкарев"", гр.софия",1.0,12.0,0.0833,8.42
кичево избори,1.0,12.0,0.0833,8.67
арбен хавальов,1.0,12.0,0.0833,18.33
ася панджерова,1.0,12.0,0.0833,65.17
валентин ботев гечевски,1.0,11.0,0.0909,5.55
мариела петропулу,1.0,11.0,0.0909,9.64
евгени симеонов,1.0,11.0,0.0909,14.55
михаил кашеров сливен,1.0,10.0,0.1,6.1
добри димитров ковачев,1.0,10.0,0.1,6.7
нели николаева андреева,1.0,10.0,0.1,7.3
цветомир милотинов цветанов,1.0,10.0,0.1,7.7
димитър иванов кънев,1.0,10.0,0.1,7.8
светла коджабашева прогресивна българия,1.0,10.0,0.1,8.9
рада келевска,1.0,10.0,0.1,9.4
велислав величков роден,1.0,10.0,0.1,11.1
олга бориславова борисова,1.0,10.0,0.1,13.3
митко стайков,1.0,10.0,0.1,15.1
асен бабачев,1.0,10.0,0.1,15.4
николай ганев,1.0,10.0,0.1,16.7
стойчо бозуков,1.0,9.0,0.11109999999999999,9.56
стоян манчоров,1.0,9.0,0.11109999999999999,11.56
полина шишкова,1.0,9.0,0.11109999999999999,11.89
стелиян гандев,1.0,9.0,0.11109999999999999,16.89
милена иванова христова,1.0,9.0,0.11109999999999999,28.89
рашко георгиев динков,1.0,8.0,0.125,2.38
ивелина крушкова,1.0,8.0,0.125,3.88
васил горанов депутат,1.0,8.0,0.125,5.75
александър христов григоров,1.0,8.0,0.125,8.0
радослав вутов,1.0,8.0,0.125,8.62
мартина пеева,1.0,8.0,0.125,8.75
небие църенска,1.0,8.0,0.125,10.12
венцислав токов,1.0,8.0,0.125,10.25
димитър трифонов здравков,1.0,8.0,0.125,10.25
бисер каменов николов,1.0,8.0,0.125,11.12
момчил викторов терзийски,1.0,8.0,0.125,11.75
владимир милчев николов,1.0,8.0,0.125,13.38
нели андреева депутат,1.0,8.0,0.125,14.88
арамян,1.0,7.0,0.1429,4.29
детелина йорданова симеонова,1.0,7.0,0.1429,6.14
здравко александров огнянов,1.0,7.0,0.1429,6.14
чавдар здравчев,1.0,7.0,0.1429,7.14
тинна христова борисова,1.0,7.0,0.1429,7.43
симеон николов пп,1.0,7.0,0.1429,7.86
ивана цанева,1.0,7.0,0.1429,8.86
иван запрянов мавродиев,1.0,7.0,0.1429,9.71
али али хатип,1.0,7.0,0.1429,10.0
здравко марков депутат,1.0,7.0,0.1429,10.43
румен бончев дунев,1.0,7.0,0.1429,10.71
бункин,1.0,7.0,0.1429,11.57
мариела тодорова модева,1.0,7.0,0.1429,15.29
избори слатина,1.0,7.0,0.1429,28.86
калоян юриев тачев,1.0,6.0,0.16670000000000001,2.5
минко дудев,1.0,6.0,0.16670000000000001,5.33
marin tihomirov,1.0,6.0,0.16670000000000001,6.0
election bg,1.0,6.0,0.16670000000000001,6.33
валентин петков петров,1.0,6.0,0.16670000000000001,8.0
гергана божкова,1.0,6.0,0.16670000000000001,8.5
стоил атанасов стоилов,1.0,6.0,0.16670000000000001,8.83
сервет вели мустафова,1.0,6.0,0.16670000000000001,9.17
светия чистач еоод,1.0,6.0,0.16670000000000001,9.83
gyunay myumyunov daloolu,1.0,6.0,0.16670000000000001,10.5
стефан антонов арсов,1.0,6.0,0.16670000000000001,11.17
малина крумова съпруг,1.0,6.0,0.16670000000000001,13.0
венета платиканова,1.0,6.0,0.16670000000000001,15.83
александър георгиев пулев,1.0,6.0,0.16670000000000001,21.5
звезделина каравелова,1.0,6.0,0.16670000000000001,24.83
веселин любомиров илов,1.0,5.0,0.2,2.8
крум владимиров неделков,1.0,5.0,0.2,5.2
симеон николов пп дб,1.0,5.0,0.2,6.0
иван костадинов вачев,1.0,5.0,0.2,6.2
перса ана накова,1.0,5.0,0.2,6.4
иво михайлов депутат,1.0,5.0,0.2,6.8
ани кирилова кръстева,1.0,5.0,0.2,7.2
деян деянов калинов,1.0,5.0,0.2,8.4
стамен ведричков,1.0,5.0,0.2,9.0
десислава костова прогресивна българия,1.0,5.0,0.2,9.4
поморийска обикновена цена,1.0,5.0,0.2,9.4
борислав венциславов богословов,1.0,5.0,0.2,9.8
радина гечева,1.0,5.0,0.2,11.0
димитър тодоринов,1.0,5.0,0.2,12.0
петранка щерева,1.0,5.0,0.2,13.2
николай паунов,1.0,5.0,0.2,14.4
иван петев демерджиев,1.0,5.0,0.2,17.6
турхан каракаш,1.0,5.0,0.2,27.2
николай венцеславов йотов,1.0,4.0,0.25,1.5
борис огнянов андреев,1.0,4.0,0.25,2.5
галин гакев,1.0,4.0,0.25,4.5
севгин баки хасан,1.0,4.0,0.25,4.5
лоран ахмед,1.0,4.0,0.25,5.0
джоанна брусарска,1.0,4.0,0.25,7.25
румен неделчев костадинов,1.0,4.0,0.25,7.25
тодор радославов ценов,1.0,4.0,0.25,7.5
обществени поръчки велинград,1.0,4.0,0.25,7.75
стоян сергеев тричков,1.0,4.0,0.25,8.0
mia krumova,1.0,4.0,0.25,8.25
маломир василев власов,1.0,4.0,0.25,8.25
петър бенев,1.0,4.0,0.25,8.5
йоана рашкова,1.0,4.0,0.25,9.0
александър христов николов,1.0,4.0,0.25,9.25
владимир табаков,1.0,4.0,0.25,9.5
иван калоферов,1.0,4.0,0.25,9.75
асен ненчев,1.0,4.0,0.25,13.5
велислава николаева петрова чамова съпруг,1.0,4.0,0.25,17.0
айсел руфад,1.0,4.0,0.25,17.75
николай нидал алгафари,1.0,4.0,0.25,18.5
банковци,1.0,4.0,0.25,23.25
армения избори,1.0,4.0,0.25,31.0
наплатанова,1.0,4.0,0.25,33.25
емине гюлестан,1.0,4.0,0.25,35.0
стефан цветомиров цанев,1.0,3.0,0.3333,2.0
донко узунов,1.0,3.0,0.3333,2.67
красидара юлиянова тошева,1.0,3.0,0.3333,3.0
даниел иванов дпс,1.0,3.0,0.3333,3.33
емил емилов велев,1.0,3.0,0.3333,5.0
васил наумов бошнаков,1.0,3.0,0.3333,5.33
вяра петрова прогресивна българия,1.0,3.0,0.3333,5.67
аделина тотева,1.0,3.0,0.3333,7.0
николай петров петров,1.0,3.0,0.3333,7.33
васка тричкова,1.0,3.0,0.3333,7.67
пламен тодев биография,1.0,3.0,0.3333,7.67
севгин лютви хълми,1.0,3.0,0.3333,7.67
адриана атанасова чиплакова,1.0,3.0,0.3333,8.0
петър николаев бояджиев,1.0,3.0,0.3333,8.67
ивайло христов депутат,1.0,3.0,0.3333,9.67
василен цветков,1.0,3.0,0.3333,10.67
камен славянов попов,1.0,3.0,0.3333,11.0
красимир цеков иванов,1.0,3.0,0.3333,11.67
симеон трулев,1.0,3.0,0.3333,12.0
адриана чиплакова бургас,1.0,3.0,0.3333,13.0
сийя николаева,1.0,3.0,0.3333,14.0
панайот филипов,1.0,3.0,0.3333,14.33
