key,clicks,impressions,ctr,position
https://electionsbg.com/section/174100007,7.0,62.0,0.11289999999999999,5.82
https://electionsbg.com/candidate/Мария Златкова Димитрова,7.0,62.0,0.11289999999999999,6.98
https://electionsbg.com/sections/73403,7.0,62.0,0.11289999999999999,7.21
https://electionsbg.com/candidate/Волен Йорданов Борисов,7.0,59.0,0.1186,5.88
https://electionsbg.com/section/122900002,7.0,58.0,0.1207,8.91
https://electionsbg.com/candidate/Славян Радоев Радойчовски,7.0,57.0,0.12279999999999999,6.75
https://electionsbg.com/person/zahari-kamenov-bogomilov-878113,7.0,54.0,0.12960000000000002,6.22
https://electionsbg.com/section/261700029,7.0,53.0,0.1321,5.4
https://electionsbg.com/candidate/Прою Маринов Керчев,7.0,46.0,0.1522,3.43
https://electionsbg.com/candidate/Ипек Керимова Исмаилова,7.0,38.0,0.18420000000000003,5.71
https://electionsbg.com/candidate/Стоян Димитров Чанев/,7.0,38.0,0.18420000000000003,7.87
https://electionsbg.com/candidate/Николай Герчев Герчев,7.0,36.0,0.19440000000000002,5.78
https://electionsbg.com/candidate/Златина Войкова Ковчазлиева,7.0,36.0,0.19440000000000002,6.06
https://electionsbg.com/candidate/Телият Осман Калчев/,7.0,34.0,0.2059,3.35
https://electionsbg.com/section/013300052,7.0,32.0,0.2188,4.0
https://electionsbg.com/candidate/Лъчезар Мирославов Любчов,7.0,32.0,0.2188,4.97
https://electionsbg.com/candidate/Мартин Серьожев Вътев,7.0,32.0,0.2188,9.5
https://electionsbg.com/candidate/Сезгин Давудов Караисмаилов/,7.0,31.0,0.22579999999999997,2.97
https://electionsbg.com/candidate/Магдалена Владимирова Овчарова-Трашлиева/,7.0,31.0,0.22579999999999997,4.68
https://electionsbg.com/candidate/Бранимир Димитров Ламбиев,7.0,29.0,0.2414,9.21
https://electionsbg.com/sections/80073,7.0,28.0,0.25,5.57
https://electionsbg.com/sections/46663,7.0,26.0,0.2692,5.88
https://electionsbg.com/sections/00415,7.0,26.0,0.2692,6.88
https://electionsbg.com/sections/15028,7.0,25.0,0.28,3.4
https://electionsbg.com/candidate/Мирослав Николаев Кацаров,7.0,25.0,0.28,5.28
https://electionsbg.com/candidate/Телият Осман Калчев,7.0,23.0,0.3043,6.74
https://electionsbg.com/sections/15285,7.0,22.0,0.3182,8.05
https://electionsbg.com/candidate/Ахмед Алиев Бозаджиев,7.0,21.0,0.3333,5.57
https://electionsbg.com/sections/03304,7.0,21.0,0.3333,6.05
https://electionsbg.com/section/131900051,7.0,20.0,0.35,2.8
https://electionsbg.com/sections/51679,7.0,20.0,0.35,3.8
https://electionsbg.com/candidate/Самет Мюмюн Мангър,7.0,20.0,0.35,4.4
https://electionsbg.com/section/172600008,7.0,20.0,0.35,4.75
https://electionsbg.com/section/131900166,7.0,17.0,0.4118,3.53
https://electionsbg.com/candidate/Румен Иванов Янков,7.0,14.0,0.5,4.57
https://electionsbg.com/candidate/Гергана Велизарова Янчева-Ценкова/sections,7.0,14.0,0.5,10.29
https://electionsbg.com/section/293400144,7.0,13.0,0.5385,4.62
